synset,pos,name,src
03131669-n,n,crib,eng30
00492083-n,n,crib,eng30
00491901-n,n,crib,eng30
01222859-n,n,taunting,eng30
07923176-n,n,root_beer_float,eng30
02422561-n,n,aepyceros,eng30
00203753-n,n,turning_away,eng30
00421047-n,n,oppression,eng30
13996719-n,n,oppression,eng30
07538674-n,n,oppression,eng30
10974136-n,n,fonda,eng30
10974033-n,n,fonda,eng30
13806140-n,n,perfect,eng30
02661017-n,n,lefteyed_flounder,eng30
09357080-n,n,mohorovicic_discontinuity,eng30
13277179-n,n,operating_cost,eng30
05631175-n,n,midgard,eng30
03961828-n,n,plate_rail,eng30
12695975-n,n,melia_azedarach,eng30
15165637-n,n,mealtime,eng30
09155692-n,n,beckley,eng30
01588858-n,n,acanthisitta,eng30
11321051-n,n,strasberg,eng30
07949796-n,n,peanut_gallery,eng30
04164199-n,n,peanut_gallery,eng30
06052165-n,n,immunopathology,eng30
09052100-n,n,piedmont,eng30
09391644-n,n,piedmont,eng30
08809749-n,n,piedmont,eng30
02245592-n,n,homoptera,eng30
13339189-n,n,post-obit_bond,eng30
02428653-n,n,genus_pseudoryx,eng30
02729755-n,n,apple_orchard,eng30
01992773-n,n,amphipod,eng30
07848196-n,n,whipping_cream,eng30
11111194-n,n,pyotr_alexeyevich_kropotkin,eng30
04343346-n,n,rivet,eng30
04095342-n,n,rivet,eng30
03104247-n,n,copperplate_engraving,eng30
06950400-n,n,scottish_lallans,eng30
02648916-n,n,hexagrammos_decagrammus,eng30
12821505-n,n,virginia_cowslip,eng30
06509902-n,n,main_file,eng30
15148787-n,n,1530s,eng30
05541509-n,n,frontal_eminence,eng30
03055418-n,n,clutch_bag,eng30
12717914-n,n,kirkia,eng30
06375624-n,n,masora,eng30
13111504-n,n,tree_stump,eng30
03863442-n,n,overcasting,eng30
11953610-n,n,chicory,eng30
11953038-n,n,chicory,eng30
07731284-n,n,chicory,eng30
07730855-n,n,chicory,eng30
10631512-n,n,spearhead,eng30
08415661-n,n,spearhead,eng30
04271371-n,n,spearhead,eng30
11621950-n,n,abies_balsamea,eng30
00856733-n,n,lechery,eng30
01358259-n,n,class_cyanobacteria,eng30
10381369-n,n,systemiser,eng30
12953712-n,n,interrupted_fern,eng30
08547143-n,n,county_courthouse,eng30
04240434-n,n,slip_clutch,eng30
11868814-n,n,cruciferous_plant,eng30
11412592-n,n,byproduct,eng30
02930492-n,n,byproduct,eng30
06461406-n,n,pseudepigrapha,eng30
07365432-n,n,debacle,eng30
11454953-n,n,debacle,eng30
07476623-n,n,debacle,eng30
05000537-n,n,overweight,eng30
03162556-n,n,darning_needle,eng30
02268443-n,n,darning_needle,eng30
02296150-n,n,cerapteryx,eng30
10327002-n,n,muhammadan,eng30
07220045-n,n,position_paper,eng30
06506430-n,n,position_paper,eng30
12755387-n,n,california_box_elder,eng30
03413428-n,n,gambling_hell,eng30
11522730-n,n,downdraft,eng30
12623368-n,n,genus_amelanchier,eng30
08887716-n,n,isle_of_man,eng30
15264010-n,n,common_measure,eng30
13734992-n,n,common_measure,eng30
07094731-n,n,common_measure,eng30
14139333-n,n,pestis_ambulans,eng30
12613285-n,n,genus_hydrocharis,eng30
09160968-n,n,capital_of_vanuatu,eng30
01946827-n,n,nerita_peloronta,eng30
02888817-n,n,brad,eng30
07205104-n,n,no,eng30
14647722-n,n,no,eng30
12741079-n,n,dodonaea,eng30
08761697-n,n,sjaelland,eng30
14614594-n,n,orthophosphorous_acid,eng30
04023695-n,n,punch_bowl,eng30
03993053-n,n,potty_chair,eng30
02293352-n,n,gelechiid_moth,eng30
13482781-n,n,focalization,eng30
00375625-n,n,focalization,eng30
03892178-n,n,parquet_floor,eng30
01728445-n,n,genus_carphophis,eng30
01269161-n,n,agincourt,eng30
07689624-n,n,orange_toast,eng30
14545215-n,n,muscular_tonus,eng30
08936833-n,n,marseilles,eng30
02449699-n,n,galictis_vittatus,eng30
14405061-n,n,dumps,eng30
10703905-n,n,deponent,eng30
12667406-n,n,genipa,eng30
14187378-n,n,autoimmune_disorder,eng30
08585540-n,n,home_territory,eng30
15054862-n,n,amyloid,eng30
14730105-n,n,amyloid,eng30
05952678-n,n,superstition,eng30
00340192-n,n,overtaking,eng30
04084234-n,n,retrofit,eng30
00364053-n,n,retrofit,eng30
02484473-n,n,old_world_monkey,eng30
14164341-n,n,aplastic_anemia,eng30
08259753-n,n,american_federalist_party,eng30
07851926-n,n,processed_cheese,eng30
10209731-n,n,insurance_agent,eng30
12258380-n,n,family_monotropaceae,eng30
06735922-n,n,hearsay_evidence,eng30
05621178-n,n,foxiness,eng30
07918879-n,n,toddy,eng30
14409371-n,n,pinch,eng30
14295140-n,n,pinch,eng30
07417405-n,n,pinch,eng30
00842281-n,n,pinch,eng30
00357275-n,n,pinch,eng30
00088725-n,n,pinch,eng30
03905208-n,n,spyhole,eng30
01259211-n,n,renege,eng30
14924602-n,n,jade,eng30
09772930-n,n,jade,eng30
02382204-n,n,jade,eng30
00182435-n,n,general_election,eng30
12677841-n,n,coralberry,eng30
