synset,resource,xref,misc,confidence
00129612-a,sumo,earlier,"⊂",
00129729-a,sumo,earlier,"⊂",
00129878-a,sumo,earlier,"⊂",
00130017-a,sumo,earlier,"⊂",
00130151-a,sumo,PsychologicalDysfunction,"⊂",
00130281-a,sumo,PsychologicalDysfunction,"⊂",
00130412-a,sumo,earlier,"⊂",
00130596-a,sumo,earlier,"⊂",
00130778-a,sumo,FrontFn,"⊂",
00131426-a,sumo,BackFn,"⊂",
00132127-a,sumo,BackFn,"⊂",
00132385-a,sumo,PositionalAttribute,"⊂",
00132849-a,sumo,capability,"⊂",
00133065-a,sumo,capability,"⊂",
00133259-a,sumo,BodyPart,"⊂",
00133335-a,sumo,BodyPart,"⊃",
00133417-a,sumo,TasteAttribute,"⊂",
00133851-a,sumo,TasteAttribute,"⊂",
00134060-a,sumo,SubjectiveAssessmentAttribute,"⊂",
00134401-a,sumo,SubjectiveAssessmentAttribute,"⊂",
00134701-a,sumo,SubjectiveAssessmentAttribute,"⊂",
00135718-a,sumo,SubjectiveAssessmentAttribute,"⊂",
00136354-a,sumo,NormativeAttribute,"⊂",
00137641-a,sumo,NormativeAttribute,"⊂",
00137725-a,sumo,NormativeAttribute,"⊂",
00137943-a,sumo,SubjectiveAssessmentAttribute,"⊂",
00138169-a,sumo,SubjectiveAssessmentAttribute,"⊂",
00138622-a,sumo,SubjectiveAssessmentAttribute,"⊂",
00138912-a,sumo,Reasoning,"⊂",
00139126-a,sumo,Reasoning,"⊂",
00139344-a,sumo,Building,"⊂",
00139870-a,sumo,Building,"⊂",
00140233-a,sumo,NormativeAttribute,"⊂",
00140437-a,sumo,NormativeAttribute,"⊂",
00140542-a,sumo,Building,"⊂",
00141522-a,sumo,Building,"⊂",
00141818-a,sumo,Organism,"⊂",
00141947-a,sumo,Organism,"⊂",
00142040-a,sumo,part,"⊂",
00142270-a,sumo,part,"⊂",
00142407-a,sumo,Weapon,"⊂",
00142917-a,sumo,Weapon,"⊃",
00143589-a,sumo,part,"⊂",
00144728-a,sumo,part,"⊂",
00144877-a,sumo,Organism,"⊂",
00145995-a,sumo,Organism,"⊂",
00146210-a,sumo,Human,"⊂",
00146786-a,sumo,Human,"⊂",
00146883-a,sumo,Animal,"⊂",
00147528-a,sumo,Animal,"⊂",
00147734-a,sumo,SubjectiveAssessmentAttribute,"⊂",
00149861-a,sumo,SubjectiveAssessmentAttribute,"⊂",
00150202-a,sumo,SubjectiveAssessmentAttribute,"⊂",
00151105-a,sumo,capability,"⊂",
00152896-a,sumo,Communication,"⊂",
00153239-a,sumo,capability,"⊂",
00153410-a,sumo,CorpuscularObject,"⊂",
00153652-a,sumo,Object,"⊂",
00153898-a,sumo,EmotionalState,"⊂",
00154965-a,sumo,EmotionalState,"⊂",
00156101-a,sumo,PsychologicalAttribute,"⊂",
00156839-a,sumo,TraitAttribute,"⊂",
00157389-a,sumo,PsychologicalProcess,"⊂",
00157849-a,sumo,PsychologicalProcess,"⊂",
00157925-a,sumo,SocialRole,"⊂",
00158407-a,sumo,SocialRole,"⊂",
00158701-a,sumo,Attaching,"⊂",
00159381-a,sumo,Attaching,"⊃",
00159498-a,sumo,Attaching,"⊂",
00159735-a,sumo,OrganicObject,"⊂",
00159975-a,sumo,Organism,"⊂",
00160144-a,sumo,Animal,"⊂",
00160425-a,sumo,Building,"⊂",
00160573-a,sumo,Building,"⊂",
00161065-a,sumo,Attaching,"⊂",
00161276-a,sumo,Detaching,"⊂",
00161431-a,sumo,capability,"⊂",
00162083-a,sumo,capability,"⊂",
00162386-a,sumo,StateOfMind,"⊂",
00162990-a,sumo,StateOfMind,"⊂",
00163592-a,sumo,StateOfMind,"⊂",
00164863-a,sumo,StateOfMind,"⊂",
00166146-a,sumo,SubjectiveAssessmentAttribute,"⊂",
00169164-a,sumo,SubjectiveAssessmentAttribute,"⊂",
00169955-a,sumo,capability,"⊂",
00170156-a,sumo,capability,"⊂",
00170358-a,sumo,SubjectiveAssessmentAttribute,"⊂",
00171044-a,sumo,SubjectiveAssessmentAttribute,"⊂",
00171590-a,sumo,capability,"⊂",
00172452-a,sumo,capability,"⊂",
00172562-a,sumo,Adjective,"⊂",
00172993-a,sumo,Adjective,"⊂",
00173220-a,sumo,Pregnant,"⊂",
00173694-a,sumo,BiologicalAttribute,"⊂",
00173764-a,sumo,capability,"⊂",
00174379-a,sumo,capability,"⊂",
00175528-a,sumo,SpeedFn,"⊂",
00175719-a,sumo,SpeedFn,"⊂",
00175887-a,sumo,SpeedFn,"⊂",
00176150-a,sumo,SubjectiveAssessmentAttribute,"⊂",
00176838-a,sumo,SubjectiveAssessmentAttribute,"⊂",
00177186-a,sumo,SubjectiveAssessmentAttribute,"⊂",
00177963-a,sumo,SubjectiveAssessmentAttribute,"⊂",
00178575-a,sumo,holdsRight,"⊂",
00179486-a,sumo,holdsRight,"⊂",
00179925-a,sumo,NormativeAttribute,"⊂",
00180211-a,sumo,NormativeAttribute,"⊂",
00180359-a,sumo,Mineral,"⊂",
00180496-a,sumo,Mineral,"⊂",
00180655-a,sumo,Animal,"⊂",
00180835-a,sumo,Animal,"⊂",
00181030-a,sumo,origin,"⊂",
00181373-a,sumo,origin,"⊂",
00181476-a,sumo,Device,"⊂",
00182843-a,sumo,Device,"⊂",
00183053-a,sumo,SubjectiveAssessmentAttribute,"⊂",
00185921-a,sumo,SubjectiveAssessmentAttribute,"⊂",
00186616-a,sumo,Awake,=,
00187736-a,sumo,Asleep,=,
00189580-a,sumo,BiologicalAttribute,"⊂",
00190023-a,sumo,BiologicalAttribute,"⊂",
00190115-a,sumo,inScopeOfInterest,=,
00191603-a,sumo,IntentionalRelation,"⊂",
00192756-a,sumo,IntentionalRelation,"⊂",
00192880-a,sumo,IntentionalRelation,"⊂",
00193015-a,sumo,SubjectiveAssessmentAttribute,"⊂",
00196560-a,sumo,SubjectiveAssessmentAttribute,"⊂",
00196664-a,sumo,FloweringPlant,"⊂",
00196799-a,sumo,FloweringPlant,"⊂",
00196934-a,sumo,SubjectiveAssessmentAttribute,"⊂",
